Order ID,Order Date,Order Day,Order Month,Order Year,Ship Date,Ship Time in Days,Ship Mode,Customer ID,Customer Name,Segment,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,COGS,Unit Price,Discount Amount,Profit Margin,Discount (B),Is New Customer,Column 29
CA-2014-103800,1/3/2014,Friday,January,2014,1/7/2014,4,Standard Class,DP-13000,Darren Powers,Consumer,Houston,Texas,Central,OFF-PA-10000174,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",16.45,2,0.20,5.55,7.61,8.22,3.29,0.34,Yes,Yes,
CA-2014-112326,1/4/2014,Saturday,January,2014,1/8/2014,4,Standard Class,PO-19195,Phillina Ober,Home Office,Naperville,Illinois,Central,OFF-LA-10003223,Office Supplies,Labels,Avery 508,11.78,3,0.20,4.27,5.16,3.93,2.36,0.36,Yes,Yes,
CA-2014-112326,1/4/2014,Saturday,January,2014,1/8/2014,4,Standard Class,PO-19195,Phillina Ober,Home Office,Naperville,Illinois,Central,OFF-ST-10002743,Office Supplies,Storage,SAFCO Boltless Steel Shelving,272.74,3,0.20,-64.77,282.96,90.91,54.55,-0.24,Yes,Yes,
CA-2014-112326,1/4/2014,Saturday,January,2014,1/8/2014,4,Standard Class,PO-19195,Phillina Ober,Home Office,Naperville,Illinois,Central,OFF-BI-10004094,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,3.54,2,0.80,-5.49,6.20,1.77,2.83,-1.55,Yes,Yes,
CA-2014-141817,1/5/2014,Sunday,January,2014,1/12/2014,7,Standard Class,MB-18085,Mick Brown,Consumer,Philadelphia,Pennsylvania,East,OFF-AR-10003478,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",19.54,3,0.20,4.88,10.74,6.51,3.91,0.25,Yes,Yes,
CA-2014-130813,1/6/2014,Monday,January,2014,1/8/2014,2,Second Class,LS-17230,Lycoris Saunders,Consumer,Los Angeles,California,West,OFF-PA-10002005,Office Supplies,Paper,Xerox 225,19.44,3,0.00,9.33,10.11,6.48,0.00,0.48,No,Yes,
CA-2014-106054,1/6/2014,Monday,January,2014,1/7/2014,1,First Class,JO-15145,Jack O'Briant,Corporate,Athens,Georgia,South,OFF-AR-10002399,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",12.78,3,0.00,5.24,7.54,4.26,0.00,0.41,No,Yes,
CA-2014-167199,1/6/2014,Monday,January,2014,1/10/2014,4,Standard Class,ME-17320,Maria Etezadi,Home Office,Henderson,Kentucky,South,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2573.82,9,0.00,746.41,1827.41,285.98,0.00,0.29,No,Yes,
CA-2014-167199,1/6/2014,Monday,January,2014,1/10/2014,4,Standard Class,ME-17320,Maria Etezadi,Home Office,Henderson,Kentucky,South,OFF-BI-10004632,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,609.98,2,0.00,274.49,335.49,304.99,0.00,0.45,No,Yes,
CA-2014-167199,1/6/2014,Monday,January,2014,1/10/2014,4,Standard Class,ME-17320,Maria Etezadi,Home Office,Henderson,Kentucky,South,OFF-AR-10001662,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,5.48,2,0.00,1.48,4.00,2.74,0.00,0.27,No,Yes,
CA-2014-167199,1/6/2014,Monday,January,2014,1/10/2014,4,Standard Class,ME-17320,Maria Etezadi,Home Office,Henderson,Kentucky,South,TEC-PH-10004977,Technology,Phones,GE 30524EE4,391.98,2,0.00,113.67,278.31,195.99,0.00,0.29,No,Yes,
CA-2014-167199,1/6/2014,Monday,January,2014,1/10/2014,4,Standard Class,ME-17320,Maria Etezadi,Home Office,Henderson,Kentucky,South,TEC-PH-10004539,Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,755.96,4,0.00,204.11,551.85,188.99,0.00,0.27,No,Yes,
CA-2014-167199,1/6/2014,Monday,January,2014,1/10/2014,4,Standard Class,ME-17320,Maria Etezadi,Home Office,Henderson,Kentucky,South,OFF-FA-10001883,Office Supplies,Fasteners,"Alliance Super-Size Bands, Assorted Sizes",31.12,4,0.00,0.31,30.81,7.78,0.00,0.01,No,Yes,
CA-2014-167199,1/6/2014,Monday,January,2014,1/10/2014,4,Standard Class,ME-17320,Maria Etezadi,Home Office,Henderson,Kentucky,South,OFF-PA-10000955,Office Supplies,Paper,Southworth 25% Cotton Granite Paper & Envelopes,6.54,1,0.00,3.01,3.53,6.54,0.00,0.46,No,Yes,
CA-2014-105417,1/7/2014,Tuesday,January,2014,1/12/2014,5,Standard Class,VS-21820,Vivek Sundaresam,Consumer,Huntsville,Texas,Central,FUR-FU-10004864,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",76.73,3,0.60,-53.71,84.40,25.58,46.04,-0.70,Yes,Yes,
CA-2014-105417,1/7/2014,Tuesday,January,2014,1/12/2014,5,Standard Class,VS-21820,Vivek Sundaresam,Consumer,Huntsville,Texas,Central,OFF-BI-10003708,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",10.43,7,0.80,-18.25,20.34,1.49,8.34,-1.75,Yes,Yes,
CA-2014-135405,1/9/2014,Thursday,January,2014,1/13/2014,4,Standard Class,MS-17830,Melanie Seite,Consumer,Laredo,Texas,Central,OFF-AR-10004078,Office Supplies,Art,Newell 312,9.34,2,0.20,1.17,6.31,4.67,1.87,0.13,Yes,Yes,
